"","id","area","jibun","pnu","emd","emd_name","crop_name","지역","centroid_lat","centroid_lon","총인구수","남인구수","여인구수","성비","세대수","세대당인구수","리","Factory_Count","평균용지면적","평균건축면적","Reservoir_Count","평균관개면적","평균순관개면적"
"128","04878706",2260.01078627,"224-9답","4723033031102240009","47230330","경상북도 영천시 화산면 석촌리","논_벼","화산면","1123846.9885636363","1779408.6527681819",3117,1617,1500,107.8,1783,1.75,"석촌리",0,0,0,0,0,0
"129","04878707",1846.97473524,"224-6답","4723033031102240006","47230330","경상북도 영천시 화산면 석촌리","논_벼","화산면","1123806.3524300002","1779475.2427266666",3117,1617,1500,107.8,1783,1.75,"석촌리",0,0,0,0,0,0
"130","04878674",495.179445337,"115전","4723033031101150000","47230330","경상북도 영천시 화산면 석촌리","논_벼","화산면","1123729.7308833336","1779824.2027833336",3117,1617,1500,107.8,1783,1.75,"석촌리",0,0,0,0,0,0
"131","04902569",2814.06671271,"233답","4723033030102330000","47230330","경상북도 영천시 화산면 삼부리","비경지","화산면","1124398.6379222225","1779570.9043888890",3117,1617,1500,107.8,1783,1.75,"삼부리",8,5726.875,2224.48375,0,0,0
"132","04902156",2130.04035352,"220답","4723033030102200000","47230330","경상북도 영천시 화산면 삼부리","논_벼","화산면","1124310.8780799999","1779538.9975300003",3117,1617,1500,107.8,1783,1.75,"삼부리",8,5726.875,2224.48375,0,0,0
"133","04902568",2961.63421133,"234-1답","4723033030102340001","47230330","경상북도 영천시 화산면 삼부리","논_벼","화산면","1124364.3084333339","1779601.4619166674",3117,1617,1500,107.8,1783,1.75,"삼부리",8,5726.875,2224.48375,0,0,0
"134","04902722",680.139493151,"1045답","4723033029110450000","47230330","경상북도 영천시 화산면 암기리","논_벼","화산면","1123936.6337357145","1781442.9845000003",3117,1617,1500,107.8,1783,1.75,"암기리",2,2644,626.3,0,0,0
"135","04902105",632.849358989,"953답","4723033029109530000","47230330","경상북도 영천시 화산면 암기리","논_벼","화산면","1124203.4772086958","1781021.0351826090",3117,1617,1500,107.8,1783,1.75,"암기리",2,2644,626.3,0,0,0
"136","04902055",707.524906095,"870답","4723033029108700000","47230330","경상북도 영천시 화산면 암기리","논_벼","화산면","1124556.5592050005","1780753.1118150000",3117,1617,1500,107.8,1783,1.75,"암기리",2,2644,626.3,0,0,0
"137","04902179",816.441807163,"869답","4723033029108690000","47230330","경상북도 영천시 화산면 암기리","논_벼","화산면","1124566.1383933336","1780745.1934266665",3117,1617,1500,107.8,1783,1.75,"암기리",2,2644,626.3,0,0,0
"138","04902303",471.71240267,"533답","4723033029105330000","47230330","경상북도 영천시 화산면 암기리","논_벼","화산면","1124753.7840567569","1780698.0338675678",3117,1617,1500,107.8,1783,1.75,"암기리",2,2644,626.3,0,0,0
"139","04902217",1965.78328761,"383답","4723033029103830000","47230330","경상북도 영천시 화산면 암기리","논_벼","화산면","1125314.3822524999","1780820.6263624998",3117,1617,1500,107.8,1783,1.75,"암기리",2,2644,626.3,0,0,0
"140","04902211",788.844716217,"363답","4723033029103630000","47230330","경상북도 영천시 화산면 암기리","논_벼","화산면","1125309.0080928572","1781071.1477892855",3117,1617,1500,107.8,1783,1.75,"암기리",2,2644,626.3,0,0,0
"141","04901927",2980.84069013,"852답","4723033028108520000","47230330","경상북도 영천시 화산면 대기리","논_벼","화산면","1125318.0260452381","1780488.4597142858",3117,1617,1500,107.8,1783,1.75,"대기리",1,5419,1756.5,0,0,0
"142","04902255",1147.98297769,"747답","4723033028107470000","47230330","경상북도 영천시 화산면 대기리","논_벼","화산면","1125495.3762939391","1780380.1445454545",3117,1617,1500,107.8,1783,1.75,"대기리",1,5419,1756.5,0,0,0
"143","04902256",1262.116348,"746답","4723033028107460000","47230330","경상북도 영천시 화산면 대기리","논_벼","화산면","1125475.4636030304","1780394.8105636365",3117,1617,1500,107.8,1783,1.75,"대기리",1,5419,1756.5,0,0,0
"144","04902586",560.629663965,"651과","4723033028106510000","47230330","경상북도 영천시 화산면 대기리","논_벼","화산면","1125552.3855600003","1779661.0635599999",3117,1617,1500,107.8,1783,1.75,"대기리",1,5419,1756.5,0,0,0
"145","04901770",988.533565288,"489답","4723033028104890000","47230330","경상북도 영천시 화산면 대기리","논_벼","화산면","1126162.8728210526","1779414.1213842107",3117,1617,1500,107.8,1783,1.75,"대기리",1,5419,1756.5,0,0,0
"146","04902334",1368.6896245,"494답","4723033028104940000","47230330","경상북도 영천시 화산면 대기리","논_벼","화산면","1125999.9196083331","1779327.1786041667",3117,1617,1500,107.8,1783,1.75,"대기리",1,5419,1756.5,0,0,0
"147","04877611",2117.0859634,"166답","4723033022101660000","47230330","경상북도 영천시 화산면 덕암리","논_벼","화산면","1119899.7462857147","1782708.7614285713",3117,1617,1500,107.8,1783,1.75,"덕암리",5,3962,1142.522,5,5.36,5.36
"148","04901706",2701.80354576,"167답","4723033028101670000","47230330","경상북도 영천시 화산면 대기리","논_벼","화산면","1126536.7756703703","1780258.7116074073",3117,1617,1500,107.8,1783,1.75,"대기리",1,5419,1756.5,0,0,0
"149","04901691",1234.49451468,"132답","4723033028101320000","47230330","경상북도 영천시 화산면 대기리","논_벼","화산면","1126328.9739679997","1779748.5609720000",3117,1617,1500,107.8,1783,1.75,"대기리",1,5419,1756.5,0,0,0
"150","04901692",963.862620538,"134답","4723033028101340000","47230330","경상북도 영천시 화산면 대기리","논_벼","화산면","1126331.4170823530","1779770.5950352938",3117,1617,1500,107.8,1783,1.75,"대기리",1,5419,1756.5,0,0,0
"151","04903837",178.941049714,"904답","4723033027109040000","47230330","경상북도 영천시 화산면 가상리","논_벼","화산면","1124194.0559299998","1783513.9037800001",3117,1617,1500,107.8,1783,1.75,"가상리",0,0,0,0,0,0
"152","04903952",1587.396533,"457답","4723033027104570000","47230330","경상북도 영천시 화산면 가상리","논_벼","화산면","1125543.6360526311","1781924.0342842103",3117,1617,1500,107.8,1783,1.75,"가상리",0,0,0,0,0,0
"153","04903635",1044.98643453,"353답","4723033027103530000","47230330","경상북도 영천시 화산면 가상리","논_벼","화산면","1125280.3992272732","1782272.6441818180",3117,1617,1500,107.8,1783,1.75,"가상리",0,0,0,0,0,0
"154","04903624",1103.91247374,"378답","4723033027103780000","47230330","경상북도 영천시 화산면 가상리","논_벼","화산면","1125360.8418046513","1782078.8284232556",3117,1617,1500,107.8,1783,1.75,"가상리",0,0,0,0,0,0
"155","04903630",2161.16822108,"385답","4723033027103850000","47230330","경상북도 영천시 화산면 가상리","논_벼","화산면","1125293.0441500000","1782174.4036299998",3117,1617,1500,107.8,1783,1.75,"가상리",0,0,0,0,0,0
"156","04903129",419.934198544,"464-1답","4723033026104640001","47230330","경상북도 영천시 화산면 화산리","논_벼","화산면","1122830.1760368424","1784105.0869473685",3117,1617,1500,107.8,1783,1.75,"화산리",1,4232,288.51,0,0,0
"157","04900834",2188.48144362,"776-2답","4723033023107760002","47230330","경상북도 영천시 화산면 대안리","논_벼","화산면","1118741.9558600001","1783813.2656199997",3117,1617,1500,107.8,1783,1.75,"대안리",1,8357,3650.41,10,2.5,3.125
"158","04902977",1676.14486365,"210답","4723033026102100000","47230330","경상북도 영천시 화산면 화산리","논_벼","화산면","1123639.9853468086","1783880.3455404257",3117,1617,1500,107.8,1783,1.75,"화산리",1,4232,288.51,0,0,0
"159","04902989",1187.46984495,"37답","4723033026100370000","47230330","경상북도 영천시 화산면 화산리","논_벼","화산면","1123731.0196312505","1783790.7922875001",3117,1617,1500,107.8,1783,1.75,"화산리",1,4232,288.51,0,0,0
"160","04903041",1300.86624173,"131-1답","4723033026101310001","47230330","경상북도 영천시 화산면 화산리","논_벼","화산면","1123349.9149374999","1783737.9522324998",3117,1617,1500,107.8,1783,1.75,"화산리",1,4232,288.51,0,0,0
"161","04902984",928.871913977,"35-2답","4723033026100350002","47230330","경상북도 영천시 화산면 화산리","논_벼","화산면","1123767.1451048781","1783742.4576853658",3117,1617,1500,107.8,1783,1.75,"화산리",1,4232,288.51,0,0,0
"162","04902985",904.930177081,"38답","4723033026100380000","47230330","경상북도 영천시 화산면 화산리","논_벼","화산면","1123707.7209708332","1783804.6873083333",3117,1617,1500,107.8,1783,1.75,"화산리",1,4232,288.51,0,0,0
"163","04900931",1384.71794808,"875답","4723033024108750000","47230330","경상북도 영천시 화산면 효정리","논_벼","화산면","1119191.6067333336","1783464.8415500002",3117,1617,1500,107.8,1783,1.75,"효정리",0,0,0,0,0,0
"164","04900649",2446.12902113,"1200답","4723033024112000000","47230330","경상북도 영천시 화산면 효정리","논_벼","화산면","1118800.9483999992","1784255.2641666669",3117,1617,1500,107.8,1783,1.75,"효정리",0,0,0,0,0,0
"165","04900866",1145.0174718,"876-1답","4723033024108760001","47230330","경상북도 영천시 화산면 효정리","논_벼","화산면","1119264.0650166671","1783505.6680499993",3117,1617,1500,107.8,1783,1.75,"효정리",0,0,0,0,0,0
"166","04901194",1368.64905495,"560답","4723033024105600000","47230330","경상북도 영천시 화산면 효정리","논_벼","화산면","1119997.6717923076","1784246.7835000001",3117,1617,1500,107.8,1783,1.75,"효정리",0,0,0,0,0,0
"167","04901270",990.237851987,"557답","4723033024105570000","47230330","경상북도 영천시 화산면 효정리","논_벼","화산면","1120039.7847250002","1784337.9096250001",3117,1617,1500,107.8,1783,1.75,"효정리",0,0,0,0,0,0
"168","04877025",815.816604641,"920답","4723033023109200000","47230330","경상북도 영천시 화산면 대안리","논_벼","화산면","1118671.1922399998","1782455.6049750003",3117,1617,1500,107.8,1783,1.75,"대안리",1,8357,3650.41,10,2.5,3.125
"169","04877431",681.636102494,"913답","4723033023109130000","47230330","경상북도 영천시 화산면 대안리","논_벼","화산면","1118702.4021846151","1782778.8455153846",3117,1617,1500,107.8,1783,1.75,"대안리",1,8357,3650.41,10,2.5,3.125
"170","04900929",1870.68720127,"727답","4723033023107270000","47230330","경상북도 영천시 화산면 대안리","논_벼","화산면","1118416.2796375004","1784009.3394625001",3117,1617,1500,107.8,1783,1.75,"대안리",1,8357,3650.41,10,2.5,3.125
"171","04900857",1943.58383765,"662답","4723033023106620000","47230330","경상북도 영천시 화산면 대안리","논_벼","화산면","1118905.0176200001","1783947.9048600001",3117,1617,1500,107.8,1783,1.75,"대안리",1,8357,3650.41,10,2.5,3.125
"172","04877018",1669.84890417,"460답","4723033023104600000","47230330","경상북도 영천시 화산면 대안리","논_벼","화산면","1118710.3281583332","1782636.6132166665",3117,1617,1500,107.8,1783,1.75,"대안리",1,8357,3650.41,10,2.5,3.125
"173","04876918",4864.27091453,"358-19답","4723033023103580019","47230330","경상북도 영천시 화산면 대안리","논_벼","화산면","1119360.9353400001","1781641.5187399997",3117,1617,1500,107.8,1783,1.75,"대안리",1,8357,3650.41,10,2.5,3.125
"174","04877900",514.483954455,"114-2답","4723033023101140002","47230330","경상북도 영천시 화산면 대안리","논_벼","화산면","1119533.3716142857","1782382.5918214284",3117,1617,1500,107.8,1783,1.75,"대안리",1,8357,3650.41,10,2.5,3.125
"175","04877557",1248.87518537,"113답","4723033023101130000","47230330","경상북도 영천시 화산면 대안리","논_벼","화산면","1119461.8933818180","1782424.6088636366",3117,1617,1500,107.8,1783,1.75,"대안리",1,8357,3650.41,10,2.5,3.125
"176","04877563",857.499745623,"110-1답","4723033023101100001","47230330","경상북도 영천시 화산면 대안리","논_벼","화산면","1119515.3851875006","1782408.5562250002",3117,1617,1500,107.8,1783,1.75,"대안리",1,8357,3650.41,10,2.5,3.125
"177","04877567",608.446425661,"111-1답","4723033023101110001","47230330","경상북도 영천시 화산면 대안리","논_벼","화산면","1119496.7909888893","1782396.1622111110",3117,1617,1500,107.8,1783,1.75,"대안리",1,8357,3650.41,10,2.5,3.125
"178","04877202",1890.40583508,"55답","4723033023100550000","47230330","경상북도 영천시 화산면 대안리","논_벼","화산면","1119204.7212750001","1782936.9310624995",3117,1617,1500,107.8,1783,1.75,"대안리",1,8357,3650.41,10,2.5,3.125
"179","04884992",533.090626122,"684답","4723031022106840000","47230310","경상북도 영천시 청통면 우천리","논_벼","청통면","1123516.4991227272","1777818.5550454548",3988,2092,1896,110.34,2365,1.69,"우천리",21,4259.95238095238,1451.6819047619,0,0,0
