id,x_min,y_min,x_max,y_max,과수,논,밭,시설,전체,평균_과수_면적,평균_논_면적,평균_밭_면적,평균_시설_면적,전체_평균면적,총_과수_면적,총_논_면적,총_밭_면적,총_시설_면적,전체_면적_합,factory_n,factory_area_mean,factory_area_sum,factory_bulit_area_mean,factory_bulit_area_sum,reservoir_area_ha_mean,reservoir_area_ha_sum,reservoir_store_km3_mean,reservoir_store_km3_sum,factory_irrigation_mean,factory_irrigation_sum,factory_fure_irrigation_mean,factory_fure_irrigation_sum
43008,128.8865448196173,36.016334874168194,128.88765545845305,36.017234195774115,0,0,5,2,7,0,0,402.59982458160005,32.3009861006,434.9008106822,0,0,2012.9991229080001,64.6019722012,2077.6010951092003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43009,128.88765545845305,36.016334874168194,128.88876609728877,36.017234195774115,2,0,0,0,2,1011.7187268705,0,0,0,1011.7187268705,2023.437453741,0,0,0,2023.437453741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43010,128.88876609728877,36.016334874168194,128.8898767361245,36.017234195774115,2,0,4,0,6,1273.0267264499998,0,1722.3153080415,0,2995.3420344915,2546.0534528999997,0,6889.261232166,0,9435.314685066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43011,128.8898767361245,36.016334874168194,128.89098737496022,36.017234195774115,0,5,1,0,6,0,1393.129611283,536.817950231,0,1929.947561514,0,6965.648056415,536.817950231,0,7502.466006646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43012,128.89098737496022,36.016334874168194,128.89209801379596,36.017234195774115,1,0,6,1,8,183.912526762,0,1132.8777193633334,69.4152381552,1386.2054842805335,183.912526762,0,6797.266316179999,69.4152381552,7050.5940810972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43013,128.89209801379596,36.016334874168194,128.89320865263167,36.017234195774115,0,0,2,1,3,0,0,1520.808981753,58.7506562978,1579.5596380508,0,0,3041.617963506,58.7506562978,3100.3686198038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43014,128.89320865263167,36.016334874168194,128.8943192914674,36.017234195774115,0,0,2,0,2,0,0,1174.2518011,0,1174.2518011,0,0,2348.5036022,0,2348.5036022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43015,128.8943192914674,36.016334874168194,128.89542993030312,36.017234195774115,1,0,1,0,2,3115.70215948,0,1043.68392196,0,4159.3860814399995,3115.70215948,0,1043.68392196,0,4159.3860814399995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43016,128.89542993030312,36.016334874168194,128.89654056913886,36.017234195774115,0,1,1,0,2,0,1903.56362978,642.661049113,0,2546.2246788929997,0,1903.56362978,642.661049113,0,2546.2246788929997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43019,128.89876184681032,36.016334874168194,128.89987248564603,36.017234195774115,1,0,0,0,1,1195.6202997,0,0,0,1195.6202997,1195.6202997,0,0,0,1195.6202997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43020,128.89987248564603,36.016334874168194,128.90098312448177,36.017234195774115,1,0,0,0,1,4095.98591261,0,0,0,4095.98591261,4095.98591261,0,0,0,4095.98591261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43021,128.90098312448177,36.016334874168194,128.90209376331748,36.017234195774115,0,1,0,0,1,0,1079.4200079,0,0,1079.4200079,0,1079.4200079,0,0,1079.4200079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43022,128.90209376331748,36.016334874168194,128.90320440215322,36.017234195774115,1,3,0,0,4,2515.94821101,1308.0181567433333,0,0,3823.966367753333,2515.94821101,3924.05447023,0,0,6440.002681239999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43350,128.7665958253589,36.017234195774115,128.76770646419462,36.018133517380036,0,0,3,1,4,0,0,566.5164683516666,13.374015732,579.8904840836666,0,0,1699.549405055,13.374015732,1712.9234207870002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43353,128.76992774186607,36.017234195774115,128.7710383807018,36.018133517380036,1,0,3,0,4,251.605779505,0,184.99485768176666,0,436.6006371867667,251.605779505,0,554.9845730453001,0,806.5903525503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
