"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"FF","2023-04-01","91.7","3.66","5.69","Lodolo, Nick",668804,666157,,"ball",,,,,4,"Bryan Reynolds singles on a ground ball to right fielder Wil Myers.","R","R","L","CIN","PIT","B",,,0,0,2023,"1.45","1.06","-0.7","2.69",,,,2,4,"Top",,,,,592200,,,-14.030406761053204,-132.8122744614127,-3.9930116881225146,20.021063111218663,26.170670178692834,-18.880879944808534,"3.33","1.61",,,,"91.4",2247,"6.2",718756,666157,592200,663886,663697,668715,676480,656413,670770,571976,"54.32",,,,,,,,32,1,"4-Seam Fastball",3,2,2,3,2,3,2,3,"Standard","Standard",120,"0","0.018"
"FF","2023-04-01","93.4","3.59","5.68","Lodolo, Nick",663647,666157,"field_out","hit_into_play",,,,,14,"Ke'Bryan Hayes grounds out softly, catcher Curt Casali to first baseman Tyler Stephenson.","R","R","L","CIN","PIT","X",2,"ground_ball",0,1,2023,"1.87","0.86","0.9","2.28",,,,1,4,"Top",125.18,202.59,,,592200,,,-10.993750411163164,-135.51091548933007,-4.826126358521848,25.483910043459225,29.55314485820522,-20.67741792576914,"3.23","1.57",1,"55.6",-73,"92.9",2149,"6.1",718756,666157,592200,663886,663697,668715,676480,656413,670770,571976,"54.36",0.154,0.139,"0",1,0,0,1,31,2,"4-Seam Fastball",3,2,2,3,2,3,2,3,"Standard","Standard",118,"0.02","-0.144"
"CH","2023-04-01","85.3","3.66","5.64","Lodolo, Nick",663647,666157,,"called_strike",,,,,7,"Ke'Bryan Hayes grounds out softly, catcher Curt Casali to first baseman Tyler Stephenson.","R","R","L","CIN","PIT","S",,,0,0,2023,"1.64","0.18","-0.55","1.92",,,,1,4,"Top",,,,,592200,,,-13.119729653913943,-123.67903948695627,-2.867327683489192,19.21785280132784,20.388947920156852,-29.94886320368668,"3.15","1.56",,,,"85.5",1760,"6.2",718756,666157,592200,663886,663697,668715,676480,656413,670770,571976,"54.25",,,,,,,,31,1,"Changeup",3,2,2,3,2,3,2,3,"Standard","Standard",107,"0","-0.026"
"CU","2023-04-01","79.3","3.74","5.63","Lodolo, Nick",595978,666157,"strikeout","swinging_strike",,,,,13,"Austin Hedges strikes out swinging.","R","R","L","CIN","PIT","S",2,,1,2,2023,"-1.59","0.08","-1.52","0.64",,,,0,4,"Top",,,,,592200,,,-8.45270113815046,-115.14107000968032,-4.1480812854327995,-12.255494760005721,24.02996613545295,-30.812632423039478,"3.15","1.49",,,,"78.4",2671,"6",718756,666157,592200,663886,663697,668715,676480,656413,670770,571976,"54.47",,,"0",1,0,0,,30,4,"Curveball",3,2,2,3,2,3,2,3,"Standard","Standard",305,"0.028","-0.172"
"CU","2023-04-01","79.5","3.7","5.76","Lodolo, Nick",595978,666157,,"called_strike",,,,,6,"Austin Hedges strikes out swinging.","R","R","L","CIN","PIT","S",,,1,1,2023,"-0.98","0.2","0.55","1.98",,,,0,4,"Top",,,,,592200,,,-5.047398567451116,-115.77881785359597,-1.9273746602009871,-7.842590591045854,21.464545460434618,-30.219054288786367,"3.12","1.43",,,,"79.1",2597,"5.9",718756,666157,592200,663886,663697,668715,676480,656413,670770,571976,"54.55",,,,,,,,30,3,"Curveball",3,2,2,3,2,3,2,3,"Standard","Standard",300,"0","-0.053"
"FF","2023-04-01","92.5","3.66","5.76","Lodolo, Nick",595978,666157,,"ball",,,,,12,"Austin Hedges strikes out swinging.","R","R","L","CIN","PIT","B",,,0,1,2023,"1.55","1","0.23","3.42",,,,0,4,"Top",,,,,592200,,,-12.13794944529987,-134.2642329775625,-2.3346321061076414,21.381342126996998,27.7729641081019,-19.70567730571162,"3.15","1.53",,,,"92.6",2138,"6.4",718756,666157,592200,663886,663697,668715,676480,656413,670770,571976,"54.13",,,,,,,,30,2,"4-Seam Fastball",3,2,2,3,2,3,2,3,"Standard","Standard",119,"0","0.027"
"CU","2023-04-01","77.7","3.66","5.78","Lodolo, Nick",595978,666157,,"called_strike",,,,,2,"Austin Hedges strikes out swinging.","R","R","L","CIN","PIT","S",,,0,0,2023,"-1.61","0.37","-0.05","3.13",,,,0,4,"Top",,,,,592200,,,-4.963605672999542,-113.04557091815836,0.610550382396102,-12.767149188400728,22.13307732944009,-29.367106337472066,"3.15","1.48",,,,"77",2668,"5.9",718756,666157,592200,663886,663697,668715,676480,656413,670770,571976,"54.57",,,,,,,,30,1,"Curveball",3,2,2,3,2,3,2,3,"Standard","Standard",299,"0","-0.038"
"CU","2023-04-01","79.5","3.67","5.68","Lodolo, Nick",678225,666157,"strikeout","swinging_strike",,,,,13,"Ji Hwan Bae strikes out swinging.","R","L","L","CIN","PIT","S",2,,1,2,2023,"-1.24","0.32","-1.26","1.7",656582,665833,,2,3,"Top",,,,,592200,,,-8.399877628457535,-115.34040491812499,-2.364695420712563,-9.046432675377691,25.639949683485444,-29.096242080827537,"2.94","1.38",,,,"78.3",2706,"6.1",718756,666157,592200,663886,663697,668715,676480,656413,670770,571976,"54.41",,,"0",1,0,0,,26,4,"Curveball",3,2,2,3,2,3,2,3,"Standard","Standard",301,"0.068","-0.396"
"FF","2023-04-01","92.1","3.74","5.52","Lodolo, Nick",678225,666157,,"called_strike",,,,,4,"Ji Hwan Bae strikes out swinging.","R","L","L","CIN","PIT","S",,,1,1,2023,"1.3","0.74","-0.52","2.05",656582,665833,,2,3,"Top",,,,,592200,,,-13.588430452642502,-133.50911230553197,-4.6362521832451264,18.218299086645594,25.211364710380614,-22.430118151858036,"2.96","1.48",,,,"92.3",2111,"6.4",718756,666157,592200,663886,663697,668715,676480,656413,670770,571976,"54.14",,,,,,,,26,3,"4-Seam Fastball",3,2,2,3,2,3,2,3,"Strategic","Standard",117,"0","-0.119"
"CU","2023-04-01","80.3","3.76","5.67","Lodolo, Nick",678225,666157,,"blocked_ball",,,,,13,"Ji Hwan Bae strikes out swinging.","R","L","L","CIN","PIT","B",,,0,1,2023,"-1.08","0.33","-1.82","1.71",656582,665833,,2,3,"Top",,,,,592200,,,-10.262969283643915,-116.62338154005411,-2.688763473877649,-7.993190265041852,21.595406634814342,-28.810399928182903,"2.94","1.43",,,,"79.9",2811,"6.1",718756,666157,592200,663886,663697,668715,676480,656413,670770,571976,"54.4",,,,,,,,26,2,"Curveball",3,2,2,3,2,3,2,3,"Standard","Standard",309,"0","0"
